A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A772,PS 307 DANIEL HALE WILLIAMS 209 YORK ST BROOKLYN,B3765,P.S. 307 Daniel Hale Williams 209 York Street Brooklyn,0.85666406
A3320,CHESTNUT HILL ELEMENTARY SCHOOL 200 SASLON PARK DR LIVERPOOL,B2522,Liverpool High School 4338 Wetzel Rd Liverpool,0.856367
A1845,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL 350 LINWOOD ST BROOKLYN,B1380,"Excellence Girls Charter School 794 Monroe Street, 3rd Floor Brooklyn",0.8561782
A3699,BOGHT HILLS SCHOOL 38 DUNSBACH FERRY RD COHOES,B435,Boght Hills Elementary School 38 Dunsbach Ferry Rd Latham,0.8561434
A874,PS 161 CROWN (THE) 330 CROWN ST BROOKLYN,B4111,Ps 936 270 59th Street Brooklyn,0.85610133
A2311,LOVEJOY DISCOVERY SCHOOL #43 161 BENZINGER ST BUFFALO,B623,Buffalo Academy Of Science Charter School 190 Franklin Street Buffalo,0.8560851
A1866,SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1 70 TOMPKINS AVE-2ND FL BROOKLYN,B572,Brooklyn Emerging Leaders Academy Charter High School 125 Stuyvesant Ave Brooklyn,0.85606384
A603,PS 85 GREAT EXPECTATIONS 2400 MARION AVE BRONX,B3406,P.S. 085 Great Expectations 2400 Marion Ave Bronx,0.855873
A2796,FREWSBURG JUNIOR-SENIOR HIGH SCHOOL PO BOX 690 FREWSBURG,B1527,Frewsburg Jr-Sr High School 26 Institute St Frewsburg,0.85584664
A1319,PS 132 CONSELYEA SCHOOL (THE) 320 MANHATTAN AVE BROOKLYN,B1218,"East Side Elementary School, Ps 267 213 East 63rd Street Manhattan",0.85583013
A1644,PS 102 BAYVIEW (THE) 211 72ND ST BROOKLYN,B4111,Ps 936 270 59th Street Brooklyn,0.85578054
A921,PS 219 KENNEDY-KING 1060 CLARKSON AVE BROOKLYN,B3692,P.S. 219 Kennedy-King 1060 Clarkson Avenue Brooklyn,0.8555925
A893,SCIENCE TECHNOLOGY & RESEARCH EARLY COLLEGE 911 FLATBUSH AVE BROOKLYN,B4439,"Science, Technology And Research Early College High School At Erasmus 911 Flatbush Avenue Brooklyn",0.85542023
A2182,BAY SHORE PREKINDERGARTEN CENTER 70 BRENTWOOD RD BAY SHORE,B292,Bay Shore Upk (Pre-K) 200 W Main Street Bay Shore,0.855379
A1007,PS 16 NANCY DEBENEDITTIS SCHOOL (THE) 41-15 104TH ST CORONA,B3166,Our Lady Of Sorrows School 35-34 105th Street Corona,0.8552798
A1612,PS 233 91-30 METROPOLITAN AVE FOREST HILLS,B4105,Ps 390 56-10 214 Street Queens,0.85527265
A3989,RED CREEK HIGH SCHOOL PO BOX 190 RED CREEK,B4182,Red Creek Middlehigh School 6574 South St Red Creek,0.8552293
A4494,UNION SPRINGS HIGH SCHOOL PO BOX 508 UNION SPRINGS,B5019,Union Springs Cent Junior/High School 239 Cayuga St Union Springs,0.8551879
