A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A3896,PAKANASINK ELEMENTARY SCHOOL PO BOX 148 CIRCLEVILLE,B3913,Pakanasink Elementary School Rt 302 Circleville,0.9239737
A4238,ELMONT MEMORIAL HIGH SCHOOL 555 RIDGE RD ELMONT,B1335,Elmont Mem Jr-Sr High School 555 Ridge Rd Elmont,0.9239319
A313,ISAAC NEWTON MIDDLE SCHOOL FOR MATH AND SCIENCE 260 PLEASANT AVE NEW YORK,B2150,Isaac Newton Middle School For Math & Science 260 Pleasant Avenue Manhattan,0.92381895
A1110,JAMAICA GATEWAY TO THE SCIENCES 167-01 GOTHIC DR JAMAICA,B2222,Jamaica Gateway To The Sciences 16701 Gothic Dr Jamaica,0.9237267
A1012,PS 28 THOMAS EMANUEL EARLY CHILDHOOD CENTER (THE) 109-10 47TH AVE CORONA,B3746,P.S. 28 - The Thomas Emanuel Early Childhood Center 109 10 47th Avenue Corona,0.9237151
A1280,PS 74 FUTURE LEADERS ELEMENTARY SCHOOL 211 DANIEL LOW TERR STATEN ISLAND,B3823,P.S. 74 Future Leaders Elementary School 211 Daniel Low Terrace Staten Island,0.92371327
A64,MATTITUCK JUNIOR-SENIOR HIGH SCHOOL PO BOX 1438 MATTITUCK,B2724,Mattituck Jr-Sr High School 15125 Main Rd Mattituck,0.9235171
A1301,WILLIAMSBURG CHARTER HIGH SCHOOL 198 VARET ST BROOKLYN,B5365,Williamsburg Preparatory School 257 N 6th Street Brooklyn,0.9235071
A29,COBLESKILL-RICHMONDVILLE HIGH SCHOOL PO BOX 269 RICHMONDVILLE,B915,Cobleskill-Richmondville High School 1353 State Rte 7 Richmondville,0.92349184
A1676,SCHOOL OF MATH SCIENCE AND HEALTHY LIVING 6214 4TH AVE BROOKLYN,B4422,"School Of Math, Science, And Healthy Living 6214 4th Avenue New York",0.923489
A2541,COPIAGUE MIDDLE SCHOOL 2650 GREAT NECK RD COPIAGUE,B979,Copiague High School 1100 Dixon Ave Copiague,0.92343354
A3539,MONTICELLO HIGH SCHOOL 39 BREAKEY AVE MONTICELLO,B2838,Monticello Middle School 25 Saint John St Monticello,0.923421
A750,SCIENCE SKILLS CENTER HIGH SCHOOL 49 FLATBUSH AVE EXT BROOKLYN,B4438,"Science Skills Center High School For Science, Technology And The Creative Arts 49 Flatbush Avenue E",0.9233937
A3094,HUNTER ELEMENTARY SCHOOL PO BOX 317 HUNTER,B2021,Hunter Elementary School 7794 Main Street Hunter,0.9232696
A1522,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY 100-00 BEACH CHANNEL DR ROCKAWAY PARK,B4271,Rockaway Park High School For Environmental Sustainability 100-00 Beach Channel Drive Queens,0.9231506
A589,PS 340 25 W 195TH ST BRONX,B4109,Ps 536 1827 Archer Street Bronx,0.92310995
A2861,MIDDLESEX VALLEY ELEMENTARY SCHOOL 149 RT 245 RUSHVILLE,B2775,Middlesex Valley Elem School 149 Ny State Route 245 Rushville,0.9229921
A2546,PEMBROKE INTERMEDIATE SCHOOL PO BOX 308 CORFU,B3987,Pembroke Intermediate School 58 Alleghany Rd Corfu,0.92282426
A3162,NORTHEAST SCHOOL 425 WINTHROP DR ITHACA,B3041,Northeast Elementary School Winthrop Dr Ithaca,0.9227698
A3668,LASALLE PREPARATORY SCHOOL 7436 BUFFALO AVE NIAGARA FALLS,B2392,La Salle Prepatory School 7436 Buffalo Ave Niagara Falls,0.9226018
A4739,GEORGE W HEWLETT HIGH SCHOOL 60 EVERIT AVE HEWLETT,B1885,Hewlett High School 60 Everit Ave Hewlett,0.9225245
